preflabel,vicnames id
LAEN EAST,101747
LACEBY,101742
ORRVALE,102433
COSGROVE SOUTH,100853
OXLEY FLATS,102440
MURRA WARRA,102234
DRUMMARTIN,101021
BONN,100432
WEDDERBURN JUNCTION,103278
BRUARONG,100522
KERGUNYAH SOUTH,101644
MILAWA,102048
NALINGA,102266
DARTMOUTH,100936
COROP,100847
OXLEY,102439
SWANWATER WEST,102899
WINTON,103364
STANHOPE SOUTH,102825
WARANGA,103221
SUTHERLAND,102887
GIRGARRE,101254
SHEPPARTON EAST,102742
RICHMOND PLAINS,102619
KAMAROOKA NORTH,101598
KYABRAM SOUTH,101735
DOOKIE COLLEGE,100998
TOOLAMBA,103041
GOOROC,101339
YAWONG HILLS,103487
GOWANGARDIE,101351
BENALLA,100344
UPPER GUNDOWRING,103143
KOONDA,101702
KIALLA WEST,101656
RICH AVON WEST,102615
COONOOER BRIDGE,100827
LITTLE DESERT,101859
NINE MILE,102353
AUCHMORE,100209
HARSTON,101428
SALISBURY WEST,102685
CANIAMBO,100644
DEDERANG,100942
KAMAROOKA,101596
WAIL,103177
NEILBOROUGH,102317
BRIDGEWATER ON LODDON,100494
MITTA MITTA,102084
TAMLEUGH,102925
PIMPINIO,102498
DUCHEMBEGARRA,101030
LOGAN,101875
WANALTA,103201
COLBINABBIN,100807
MYRRHEE,102256
CARAPOOEE,100662
FOSTERVILLE,101195
WARANGA SHORES,103222
EARLSTON,101059
SWANWATER,102898
BRIDGEWATER NORTH,100493
VIOLET TOWN,103166
RUPANYUP,102670
LAEN,101746
ELMORE,101099
TATURA EAST,102965
ESKDALE,101125
PERONNE,102485
FENTONS CREEK,101156
KANCOONA,101600
RUNNING CREEK,102667
MEADOW CREEK,101992
INGLEWOOD,101528
MURCHISON NORTH,102228
BANYENA,100267
BAGSHOT NORTH,100228
MIEPOLL,102046
MERRIANG,102023
KALKEE,101592
KURTING,101731
BURRAMBOOT,100594
TOOLAMBA WEST,103042
BERRIMAL,100358
HUNTER,101511
GLENROWAN,101310
COPE COPE,100834
GIRGARRE EAST,101255
TOM GROGGIN,103034
MARKWOOD,101961
MUDGEGONGA,102217
ST ARNAUD,102808
MONGANS BRIDGE,102107
CARBOOR,100666
MOORILIM,102131
MURCHISON EAST,102227
KOOREH,101706
MOLKA,102100
BARNADOWN,100279
GRE GRE,101369
LONGERENONG,101880
TOOLLEEN,103047
MARNOO WEST,101966
ARNOLD,100194
MITRE,102081
VECTIS,103153
NATIMUK,102301
MCINTYRE,101984
HAVILAH,101433
MOGLONEMBY,102095
MOOLERR,102117
MARNOO EAST,101965
RIGGS CREEK,102621
WHIPSTICK,103312
WOODVALE,103403
MINIMAY,102062
MUSKERRY,102248
CALIFORNIA GULLY,100623
GRITJURK,101392
CANN RIVER,100645
WARNE,103230
STUART MILL,102870
WIRRATE,103366
NAGAMBIE,102264
LONGWOOD,101887
WHITFIELD,103317
REDCASTLE,102597
GRE GRE SOUTH,101371
ST ARNAUD EAST,102809
KINGOWER,101679
DOOEN,100996
NURCOUNG,102399
WEHLA,103283
HUNTLY NORTH,101515
MELVILLE FOREST,102006
NOORINBEE,102366
GRASS FLAT,101363
YARRABERB,103476
UPPER LURG,103144
DHURRINGILE,100970
ARCADIA,100179
TAMLEUGH NORTH,102926
KARRAMOMUS,101614
JUNG,101583
MOUNT BURNETT,102163
BRENANAH,100486
TARNOOK,102946
LABERTOUCHE,101741
CLYDE NORTH,100776
DROUIN WEST,101017
TATONG,102962
ASCOT VALE,100200
FLEMINGTON,101178
GEMBROOK,101234
CARAPOOEE WEST,100663
MYERS FLAT,102252
WELLSFORD,103284
UPPER RYANS CREEK,103147
ARNOLD WEST,100195
BRIGHT,100495
WHROO,103325
MARNOO,101964
DERBY,100958
GOBARUP,101318
CREIGHTONS CREEK,100873
GOORAM,101335
EAGLEHAWK NORTH,101057
RIVERSIDE,102629
TRUGANINA,103102
TARNEIT,102945
CRANBOURNE EAST,100866
ARAPILES,100175
WHITE HILLS,103314
TAWONGA SOUTH,102968
MOUNT BEAUTY,102155
EAST BENDIGO,101061
TOOAN,103039
PAINSWICK,102443
OZENKADNOOK,102441
BRINGALBERT,100504
WAL WAL,103180
DALYENONG,100918
EMU,101111
BOLANGUM,100422
DRUNG,101027
LLANELLY,101863
CORAL BANK,100839
GRAYS BRIDGE,101367
BURKES FLAT,100588
NEUARPURR,102326
RHEOLA,102609
TAWONGA,102967
LEICHARDT,101819
CORNELLA,100844
LONGLEA,101883
TOTTINGTON,103072
DANDONGADALE,100923
QUANTONG,102570
NORTH BENDIGO,102372
WALLALOO,103191
MOLIAGUL,102098
LIMA,101844
MARONG,101967
GERMANTOWN,101242
TOWANINNY,103076
HORSHAM,101500
BAILIESTON,100230
NEWBRIDGE,102329
EDI UPPER,101083
BEAZLEYS BRIDGE,100322
COCHRANES CREEK,100795
SWANPOOL,102897
PRANJIP,102555
KING VALLEY,101672
BINGO MUNJIE,100389
AVOCA,100213
CAVEAT,100712
WHITEHEADS CREEK,103315
HIGHLANDS,101477
DROPMORE,101013
KANUMBRA,101606
COBUNGRA,100789
TELANGATUK EAST,102977
ELPHINSTONE,101100
MOUNT DRYDEN,102176
CRAIGIE,100863
BOOROLITE,100452
MOYSTON,102213
JILPANGER,101572
MORRL MORRL,102149
ULLSWATER,103134
NURRABIEL,102400
GLENORCHY,101304
MANGALORE,101948
LANGKOOP,101796
TUBBUT,103104
MURPHYS CREEK,102232
EUROA,101133
MOORNGAG,102135
GYMBOWEN,101403
INKERMAN,101530
PARADISE,102450
KARNAK,101613
WOODSTOCK WEST,103402
KANGAROO FLAT,101601
GOLDEN GULLY,101321
NORADJUHA,102368
LAANECOORIE,101739
WHITLANDS,103318
LIMA EAST,101845
SHELBOURNE,102736
BOGONG,100415
KENNINGTON,101638
MCKENZIE CREEK,101985
LAHARUM,101750
NAVARRE,102306
BARKERS CREEK,100274
GOWER,101354
SAILORS GULLY,102680
WILSONS HILL,103346
WOODSTOCK ON LODDON,103401
BEALIBA,100314
HAVEN,101432
ROSTRON,102659
LONG GULLY,101879
CHESHUNT,100733
BENAMBRA,100345
LOWER NORTON,101893
TARNAGULLA,102944
MOUNT CAMEL,102166
IRONBARK,101543
BUNGALALLY,100575
WALLALOO EAST,103192
CALLAWADDA,100625
KYNETON SOUTH,101737
LANGI LOGAN,101795
MIDDLE CREEK,102042
MOROKA,102146
BALLARAT NORTH,100242
CHADSTONE,100715
KALLISTA,101593
ELSTERNWICK,101101
CAULFIELD,100708
WATTLE FLAT,103266
MILDURA,102049
IRYMPLE,101547
DONCASTER,100991
HADDON,101404
YUROKE,103506
EUREKA,101132
MCMAHONS CREEK,101989
TAMBOON,102922
EAST WARBURTON,101066
REEFTON,102604
HENSLEY PARK,101457
REDAN,102593
MILLBROOK,102051
LAKE WONGAN,101776
GLENTHOMPSON,101314
JERICHO,101569
BASALT,100297
QUARRY HILL,102571
NELSE,102318
BENDIGO,100348
WEST BENDIGO,103299
JUNORTOUN,101586
COBBERAS,100783
KANYA,101607
WANDILIGONG,103204
SHEANS CREEK,102733
MIGA LAKE,102047
CREEK JUNCTION,100872
SWIFTS CREEK,102900
CASSILIS,100698
PASTORIA,102463
DADSWELLS BRIDGE,100911
KEVINGTON,101648
DENICULL CREEK,100951
GATUM,101224
GLENBRAE,101277
CROOKED RIVER,100883
BUXTON,100607
WANDO BRIDGE,103207
RIDDELLS CREEK,102620
NORTH BLACKWOOD,102373
BUCKLEY SWAMP,100536
LAKES ENTRANCE,101777
EAST BAIRNSDALE,101060
SOUTH KINGSVILLE,102780
SOUTH MELBOURNE,102781
FERNTREE GULLY,101165
KNOXFIELD,101691
HEYFIELD,101467
BENGWORDEN,100350
NUTFIELD,102402
NAVIGATORS,102308
DUNKELD,101038
TANJIL,102930
BORONIA,100458
SPOTSWOOD,102792
LILLICUR,101839
OUYEN,102437
VAUGHAN,103152
RIACHELLA,102612
DUNLUCE,101039
TABILK,102904
TOLMIE,103031
EMU CREEK,101112
SMOKO,102766
LOCKWOOD,101871
COSTERFIELD,100854
ARCHERTON,100186
BUNDARA,100566
BULLARTO SOUTH,100553
BORNES HILL,100457
CARAPOOK,100665
BROWN HILL,100520
SARGOOD,102696
KOOROOCHEANG,101709
CHUTE,100754
DRY DIGGINGS,101028
CADELLO,100619
DOBIE,100983
ARBUCKLE,100178
BUCHAN,100532
DARRAWEIT GUIM,100932
LLOWALONG,101864
BRIGHTON,100496
SHELFORD,102738
WALHALLA EAST,103184
PERRY BRIDGE,102486
FUMINA SOUTH,101211
RUSSELLS BRIDGE,102672
TEESDALE,102976
HILL END,101480
WON WRON,103372
BENAYEO,100346
DEVON NORTH,100968
CALROSSIE,100629
YARRAM,103479
MOORMBOOL WEST,102133
STRATHDALE,102856
FREEBURGH,101204
FAWCETT,101153
RED LION,102592
WROXHAM,103428
LAWRENCE,101815
ROSSBRIDGE,102658
CORNDALE,100843
SPARGO CREEK,102789
BAKERY HILL,100232
MOUNT EMU,102183
LINDSAY,101851
GOLDEN POINT,101322
FERNSHAW,101164
DALMORE,100916
CHOCOLYN,100749
BREAKWATER,100483
ATHLONE,100206
LAKE MUNDI,101768
BALLYROGAN,100247
BLAKEVILLE,100407
PHEASANT CREEK,102490
MOUNT PLEASANT,102196
MOUNT BOLTON,102158
CRESWICK NORTH,100880
SWAN ISLAND,102894
POINT LONSDALE,102517
CROSSOVER,100886
LESLIE MANOR,101832
LYNBROOK,101902
SEACOMBE,102709
WOOLSTHORPE,103409
WESTBURY,103304
TIMOR WEST,103023
MOLYULLAH,102104
NEWLYN NORTH,102338
KEALBA,101622
LOCKSLEY,101870
MITCHELLSTOWN,102078
ROSE RIVER,102648
ARCHDALE,100181
WARTOOK,103251
MERTON,102034
BUNG BONG,100571
DELEGATE RIVER,103804
RANCEBY,102577
NULLAWARRE,102391
EAGLE POINT,101055
DEVON MEADOWS,100967
SEDDON,102718
YARRAVILLE,103481
ALBERTON WEST,100135
PAYNESVILLE,102470
BENA,100343
KONGWAK,101697
MYRTLEFORD,102260
OVENS,102438
WANNON,103218
BOCHARA,100414
DORODONG,101001
