preflabel,definition,notation,altlabel,related
Ararat TP,,5017,,
Gavan Duffy TP,,5310,,
Pyalong TP,,5658,,
Dalhousie TP,,5220,,
Fryerstown TP,,5303,,
Romsey TP,,5681,,
Woodend TP,,5874,,
Waubra TP,,5843,,
Buangor TP,,5121,,
Mafeking TP,,5489,,
Hollinwood TP,,5383,,
Broomfield TP,,5117,,
Middle Creek TP,,5528,,
Lyonville TP,,5485,,
Ballarat North TP,,5032,,
Cheshunt TP,,5170,,
Leonards Hill TP,,5459,,
Beaufort TP,,5058,,
Ballarat TP,,5030,,
Cowa TP,,5202,,
Ballan TP,,5029,,
Karabeal TP,,5405,,
Matlock TP,,5511,,
Murrungowar TP,,5565,,
Howqua TP,,5388,,
The Gap TP,,5781,,
Casterton TP,,5162,,
Carngham TP,,5157,,
Gordon TP,,5337,,
Deptford TP,,5236,,
Diamond Creek TP,,5242,,
Smeaton TP,,5719,,
Warrayure TP,,5839,,
Towaninny TP,,5798,,
Newlyn North TP,,5591,,
Maroona TP,,5506,,
Nowa Nowa TP,,5604,,
St. Clair TP,,5693,,
Yendon TP,,5907,,
Yuppeckiar TP,,5909,,
Glenthompson TP,,5328,,
Bullumwaal TP,,5128,,
Dunkeld TP,,5256,,
"Nth Fitzroy, at (Jika Jika)",,2796E,,
Bennison TP,,5072,,
Swan Reach TP,,5749,,
"Richmond, City (Jika Jika)",,2796H,,
"St. Kilda, at (Melb South)",,3084C,,
Branxholme TP,,5105,,
Greens Creek TP,,5354,,
East Cunninghame TP,,5261,,
Corindhap TP,,5197,,
Nungurner TP,,5608,,
"Sth Yarra, at (Melb South)",,3084E,,
"Foots City, at Y/Ville (Cut-Paw-Paw)",,2478B,,
Pura Pura TP,,5656,,
Glengower TP,,5323,,
Noojee TP,,5600,,
"Nth Melbourne, at (Jika Jika)",,2796F,,
"W/Footscray, at (Cut-Paw-Paw)",,2478C,,
Digby TP,,5244,,
Wannon TP,,5830,,
Manorina TP,,5499,,
Lal Lal TP,,5448,,
Wickliffe TP,,5858,,
Linton TP,,5467,,
Westmere TP,,5851,,
Clarendon TP,,5175,,
Aberfeldy TP,,5001,,
Sydenham TP,,5751,,
"Royal Park, West Of (Jika Jika)",,2796K,,
Marlo TP,,5503,,
Wandin Yallock TP,,5827,,
"Parkville, at (Jika Jika)",,2796G,,
"West Melb., at (City Of Melb.)",,5514B,,
Pitfield TP,,5641,,
Cargerie TP,,5153,,
Braybrook TP,,5106,,
Wesburn TP,,5849,,
Tamboon South TP,,5761,,
"Carlton, at (Jika Jika)",,2796B,,
"Royal Park, at (Jika Jika)",,2796J,,
Warrenheip TP,,5840,,
Sandford TP,,5697,,
Ballyrogan TP,,5034,,
Stirling TP,,5732,,
Gisborne TP,,5320,,
Bendoc TP,,5068,,
Bonang TP,,5095,,
Stockyard Hill TP,,5733,,
Club Terrace TP,,5177,,
Mallacoota TP,,5494,,
Haddon TP,,5362,,
Panton Hill TP,,5626,,
Newmerella TP,,5592,,
Merino TP,,5520,,
Rowsley TP,,5685,,
Buninyong TP,,5134,,
Dimboola TP,,5245,,
"Yarraville, at (Cut-Paw-Paw)",,2478D,,
Buln Buln TP,,5129,,
Cranbourne TP,,5207,,
Kilmany TP,,5419,,
Skye TP,,5718,,
Heywood TP,,5380,,
Fyansford TP,,5305,,
Cora Lynn TP,,5196,,
Rosedale TP,,5683,,
Eurack TP,,5286,,
Tyers TP,,5808,,
Longford TP,,5475,,
Westbury TP,,5850,,
Woolsthorpe TP,,5881,,
Shelford TP,,5712,,
Teesdale TP,,5774,,
Cressy TP,,5210,,
"Elwood, at (Melbourne South)",,3084A,,
"Elsternwick, at (Prahran)",,3416D,,
"Elsternwick, East Of (Prahran)",,3416B,,
Glenmaggie TP,,5325,,
Crossover TP,,5213,,
South Bannockburn TP,,5723,,
Gould TP,,5341,,
Willow Grove TP,,5862,,
Orford TP,,5619,,
Mornington TP,,5551,,
Winchelsea TP,,5864,,
"Footscray, City (Cut-Paw-Paw)",,2478A,,
Tamboon TP,,5760,,
Sorrento TP,,5722,,
Ess. City  (Doutta Galla),,2541B,,
Warburton TP,,5831,,
Tabbara TP,,5752,,
Maribyrnong TP,,5502,,
Elaine TP,,5270,,
Launching Place TP,,5453,,
Yarra Junction TP,,5899,,
Northcote (Adj. City Of) TP,,5603,,
Orbost TP,,5618,,
Lake Bolac TP,,5444,,
Furnell TP,,5304,,
Eltham TP,,5279,,
Goon Nure TP,,5333,,
Hexham TP,,5378,,
Drik Drik TP,,5250,,
Lyons TP,,5484,,
Nelson TP,,5584,,
Seaton TP,,5705,,
Mathiesons TP,,5510,,
Foxhow TP,,5298,,
Smiths Gully TP,,5720,,
Nuntin TP,,5609,,
Tynong TP,,5810,,
Garfield TP,,5307,,
Inverleigh TP,,5392,,
Sale TP,,5695,,
Bacchus Marsh TP,,5025,,
Heidelberg TP,,5376,,
Ringwood TP,,5676,,
"East Melb., at (City Of Melb.)",,5514A,,
Johnsonville TP,,5400,,
"Box Hill, at (Nunawading)",,3337A,,
Pitfield Plains TP,,5642,,
Balliang TP,,5033,,
Meredith TP,,5517,,
Briagolong TP,,5108,,
Burwood TP,,5138,,
Olinda TP,,5616,,
Cunninghame TP,,5218,,
Lakes Entrance TP,,5447,,
"Caulfield, at (Prahran)",,3416A,,
Fernbank TP,,5290,,
Penshurst TP,,5629,,
"City Of Melb., (Melb. North)",,5514C,,
Queenscliff TP,,5661,,
Koonwarra TP,,5429,,
Tarwin TP,,5769,,
Meeniyan TP,,5513,,
"Sth Melb, City (Melb South)",,3084D,,
"Raymond Island, at (Bairnsdale)",,2042A,,
Dartmoor TP,,5229,,
Munro TP,,5560,,
Newry TP,,5593,,
Purdeet TP,,5657,,
Raymond Island TP,,5666,,
Paynesville TP,,5627,,
Hotspur TP,,5387,,
Cockatoo TP,,5184,,
Walhalla TP,,5819,,
Byaduk TP,,5140,,
Maude TP,,5512,,
Neerim TP,,5582,,
"Elwood, at (Prahran)",,3416C,,
Frankston TP,,5301,,
Epping TP,,5283,,
Emerald TP,,5280,,
Derrinallum TP,,5239,,
Lismore TP,,5468,,
Maffra TP,,5490,,
"Brunswick, City (Jika Jika)",,2796A,,
Mitta Mitta TP,,5539,,
Grenville TP,,5356,,
Glenlyon TP,,5324,,
"Hawstead, at (Doutta Galla)",,2541C,,
"Essendon, at (Doutta Galla)",,2541A,,
Moe TP,,5542,,
Yarragon TP,,5898,,
Camperdown TP,,5147,,
Framlingham TP,,5299,,
Morwell TP,,5554,,
Flynns Creek Upper TP,,5294,,
Narrawong TP,,5576,,
Kirkstall TP,,5424,,
Birregurra TP,,5085,,
Balnarring Beach TP,,5036,,
Merricks TP,,5521,,
Caramut TP,,5150,,
Little River TP,,5469,,
Lethbridge TP,,5461,,
"Mordialloc, City (Mordialloc)",,3186A,,
Berrybank TP,,5076,,
Bengworden TP,,5070,,
Dandenong TP,,5221,,
Darlington TP,,5226,,
Lara TP,,5452,,
Cowwarr TP,,5205,,
Bannockburn TP,,5040,,
Milltown TP,,5530,,
Ellerslie TP,,5275,,
Warragul TP,,5835,,
Terang TP,,5778,,
Modewarre TP,,5541,,
"Queenscliff, at (Paywit)",,3380A,,
Jam Jerrup TP,,5396,,
Bushfield TP,,5139,,
Garvoc TP,,5309,,
Callignee TP,,5143,,
Jeeralang Junction TP,,5398,,
Dereel TP,,5237,,
"Hawthorn, at (Boroondara)",,2209A,,
"City Of Melb., (Melb. South)",,5514D,,
Monbulk TP,,5546,,
Kalimna TP,,5401,,
Metung TP,,5526,,
Woorndoo TP,,5884,,
Mumbannar TP,,5559,,
Oakleigh TP,,5614,,
Beenak TP,,5062,,
Byaduk North TP,,5141,,
Eilyar TP,,5269,,
Wurdi Boluc TP,,5887,,
Gormandale TP,,5338,,
Drysdale TP,,5254,,
St. Leonards TP,,5694,,
Traralgon TP,,5801,,
Beeac TP,,5060,,
Trafalgar TP,,5800,,
Childers TP,,5172,,
Woodford TP,,5875,,
Panmure TP,,5625,,
Bellbrae TP,,5064,,
Nyora TP,,5613,,
Colac TP,,5186,,
Portland TP,,5651,,
Woodside TP,,5876,,
San Remo TP,,5699,,
Gellibrand TP,,5313,,
Mirboo North TP,,5537,,
Merton TP,,5524,,
Warneet TP,,5833,,
Barwon Heads TP,,5052,,
Breamlea TP,,5107,,
Dunolly TP,,5257,,
Darlimurla TP,,5224,,
Port Fairy TP,,5649,,
Boolarra TP,,5097,,
Grantville TP,,5348,,
Irrewillipe TP,,5394,,
Blackwarry TP,,5086,,
Corinella TP,,5198,,
Korumburra TP,,5434,,
Kardella TP,,5407,,
Cowes TP,,5204,,
"Cowes, at (Phillip Island)",,3389A,,
Arapiles TP,,5016,,
