preflabel,definition,notation,altlabel,related
Malkara,,3043,,
Toolleen,,3617,,
Tarnagulla,,3551,,
Moliagul,,3143,,
Wellsford,,3789,,
Goroke,,2708,,
Neuarpur,,3303,,
Nerring,,3301,,
Minimay,,3111,,
Gungarlan,,2735,,
Nurcoung,,3342,,
Cobon,,2395,,
Mortat,,3194,,
Balmattum,,2052,,
Keelangie,,2855,,
Bruarong,,2239,,
Lawloit,,2981,,
Welumla,,3791,,
Donald,,2532,,
Doboobetic,,2529,,
Lurg,,3022,,
Yarraberb,,3961,,
Pinnibar,,3399,,
Wallaby,,3704,,
Spinifex,,3493,,
Wehla,,3788,,
Kalkee,,2820,,
Curtayne,,2476,,
Lallat,,2960,,
Waranga,,3735,,
Girgarre,,2660,,
Toolamba West,,3613,,
Salisbury,,3469,,
Gibbo,,2652,,
Swanwater,,3515,,
Burrungabugge,,2307,,
Minto,,3116,,
Kurting,,2946,,
Salisbury West,,3470,,
Coynallan,,2460,,
Nateyip,,3284,,
Yarrayne,,3968,,
Benambra,,2114,,
Winton,,3843,,
Carapooee,,2338,,
Sandhurst,,3473,,
Euroa,,2608,,
Gymbowen,,2739,,
Moormbool West,,3171,,
Bunganail,,2278,,
Pranjip,,3417,,
Inglewood,,2774,,
Boorgunyah,,2191,,
St. Arnaud,,3463,,
Shadforth,,3482,,
Nolan,,3316,,
Kooreh,,2913,,
Wills,,3829,,
Leichardt,,2986,,
Samaria,,3471,,
Huntly,,2770,,
Campaspe,,2325,,
Murchison,,3222,,
Miepoll,,3101,,
Ding-A-Ding,,2525,,
Koonik Koonik,,2910,,
Warrenbayne,,3759,,
Arcadia,,2022,,
Mandurang,,3051,,
Moormbool East,,3170,,
Eppalock,,2596,,
Guttamurra,,2738,,
Costerfield,,2458,,
Gooram Gooram Gong,,2705,,
Monea South,,3149,,
Wondoomarook,,3859,,
Morrl Morrl,,3193,,
Monea North,,3148,,
Longwood,,3012,,
Karnak,,2842,,
Shelbourne,,3483,,
Lockwood,,3006,,
Carchap,,2343,,
Redbank,,3443,,
